Model,Scenario,Fold,ROC_AUC,Accuracy,Precision,Recall,F1
LogisticRegression,FE_Only,5,0.8377462260677466,0.8001893939393939,0.6575342465753424,0.5142857142857142,0.5771543086172345
SVC,FE_Only,1,0.8116493010969659,0.8136234626300851,0.7386363636363636,0.4626334519572954,0.5689277899343544
SVC,FE_Only,2,0.8355124371721027,0.815515610217597,0.7107843137254902,0.5160142348754448,0.5979381443298969
SVC,FE_Only,3,0.7745443667157585,0.7840909090909091,0.63,0.45,0.525
SVC,FE_Only,4,0.7847592967599412,0.8049242424242424,0.6927083333333334,0.475,0.5635593220338984
SVC,FE_Only,5,0.7755085603829162,0.7821969696969697,0.6388888888888888,0.4107142857142857,0.5
NeuralNet,FE_Only,1,0.8547620794658253,0.8202459791863765,0.7022222222222222,0.5622775800711743,0.6245059288537549
NeuralNet,FE_Only,2,0.8514670543346663,0.8107852412488175,0.6738197424892703,0.5587188612099644,0.6108949416342413
NeuralNet,FE_Only,3,0.8152199926362297,0.7859848484848485,0.6134453781512605,0.5214285714285715,0.5637065637065637
NeuralNet,FE_Only,4,0.8197602172312224,0.8020833333333334,0.663594470046083,0.5142857142857142,0.579476861167002
NeuralNet,FE_Only,5,0.830156940353461,0.7869318181818182,0.6170212765957447,0.5178571428571429,0.5631067961165048
AdaBoost,FE_Only,1,0.8589376123564588,0.8221381267738883,0.722488038277512,0.5373665480427047,0.6163265306122448
AdaBoost,FE_Only,2,0.8543539274314855,0.8003784295175024,0.6521739130434783,0.5338078291814946,0.5870841487279843
AdaBoost,FE_Only,3,0.8098605486008837,0.7859848484848485,0.618421052631579,0.5035714285714286,0.5551181102362205
AdaBoost,FE_Only,4,0.8352609536082474,0.8049242424242424,0.6594827586206896,0.5464285714285714,0.59765625
AdaBoost,FE_Only,5,0.8354243372606773,0.7869318181818182,0.627906976744186,0.48214285714285715,0.5454545454545454
LightGBM,FE_Only,1,0.846947573100488,0.7994323557237465,0.6575342465753424,0.5124555160142349,0.576
LightGBM,FE_Only,2,0.8539457753971457,0.8070009460737938,0.6807511737089202,0.5160142348754448,0.5870445344129555
LightGBM,FE_Only,3,0.8194081369661266,0.7916666666666666,0.631578947368421,0.5142857142857142,0.5669291338582677
LightGBM,FE_Only,4,0.8322648195876288,0.7897727272727273,0.6260869565217392,0.5142857142857142,0.5647058823529412
LightGBM,FE_Only,5,0.8276946796759942,0.790719696969697,0.6277056277056277,0.5178571428571429,0.5675146771037182
CatBoost,FE_Only,1,0.8293121950324687,0.7909176915799432,0.6388888888888888,0.49110320284697506,0.5553319919517102
CatBoost,FE_Only,2,0.834173331621235,0.7880794701986755,0.6233766233766234,0.5124555160142349,0.5625
CatBoost,FE_Only,3,0.8099019698085421,0.7916666666666666,0.6327433628318584,0.5107142857142857,0.5652173913043478
CatBoost,FE_Only,4,0.8143386413843887,0.7878787878787878,0.6284403669724771,0.48928571428571427,0.5502008032128514
CatBoost,FE_Only,5,0.8218726988217967,0.7916666666666666,0.6339285714285714,0.5071428571428571,0.5634920634920635
DecisionTree,FE_SMOTE,1,0.8738556302989293,0.8055376690276883,0.7892813641900122,0.833976833976834,0.8110137672090113
DecisionTree,FE_SMOTE,2,0.8665597765437347,0.7931701030927835,0.7724550898203593,0.8311855670103093,0.8007448789571695
DecisionTree,FE_SMOTE,3,0.8619730776384311,0.8002577319587629,0.7780429594272077,0.8402061855670103,0.8079306071871127
DecisionTree,FE_SMOTE,4,0.8462409660962908,0.7654639175257731,0.7229437229437229,0.8608247422680413,0.7858823529411765
DecisionTree,FE_SMOTE,5,0.8691935580295462,0.7970360824742269,0.7870485678704857,0.8144329896907216,0.8005066497783407
GBM,FE_SMOTE,1,0.9465173015430747,0.8731487443657437,0.8571428571428571,0.8957528957528957,0.8760226557583386
GBM,FE_SMOTE,2,0.9329407017217557,0.8492268041237113,0.8565789473684211,0.8389175257731959,0.84765625
GBM,FE_SMOTE,3,0.9293005699330428,0.8479381443298969,0.8488372093023255,0.8466494845360825,0.847741935483871
GBM,FE_SMOTE,4,0.9246374814007865,0.8479381443298969,0.8426395939086294,0.8556701030927835,0.8491048593350383
GBM,FE_SMOTE,5,0.9380455215750876,0.8627577319587629,0.8708827404479579,0.8518041237113402,0.8612377850162867
XGBoost,FE_SMOTE,1,0.945316542610357,0.8731487443657437,0.8553921568627451,0.8983268983268984,0.8763339610797238
